F32H2.5	FasN-1	K00665
K08G2.12	Srh-147	K08473
K08G2.13	Srh-149	K08473
K08G2.5	Srh-148	K08473
K09D9.6	Srh-4	K08473
K09D9.7	Srh-7	K08473
K09D9.8	Srh-8	K08473
K10B4.5	Srd-3	K08473
K10C9.6	Str-67	K08473
K10C9.8	Str-224	K08473
K12B6.5	Srn-1	K08473
M01B2.2	Srd-28	K08473
M01D1.1	Str-148	K08473
M01G12.1	Sri-14	K08473
M01G12.13	Sri-13	K08473
M7.13	Str-3	K08473
R03G8.5	Str-10	K08473
R03H4.9	Srh-201	K08473
R04B5.8	Srd-49	K08473
R04D3.12	Srd-38	K08473
R04D3.6	Srd-36	K08473
R04D3.7	Srd-42	K08473
R04D3.8	Srd-39	K08473
R04D3.9	Srd-43	K08473
R05D8.2	Srj-18	K08473
R05H5.1	Srd-2	K08473
R08C7.7	Str-185	K08473
R08H2.13	Str-102	K08473
R08H2.2	Str-88	K08473
R08H2.3	Srh-170	K08473
R08H2.4	Srh-251	K08473
R09E12.4	Str-238	K08473
R09F10.6	Srh-11	K08473
R10D12.11	Srh-24	K08473
R11D1.5	Str-178	K08473
R11D1.6	Str-181	K08473
R13D7.1	Str-41	K08473
R13D7.3	Srj-13	K08473
R186.2	Srd-35	K08473
R52.7	Srh-195	K08473
T01E8.7	Srh-135	K08473
T01G5.3	Srj-27	K08473
T01G5.5	Str-171	K08473
T01G6.3	Str-196	K08473
T01G6.9	Str-256	K08473
T02B11.5	Srj-38	K08473
T02B5.4	Srd-26	K08473
T03D3.11	Srj-44	K08473
T03D3.12	Srj-49	K08473
T03D3.14	Srj-57	K08473
T03D3.2	Srj-50	K08473
T03D3.6	Srj-45	K08473
T03E6.1	Str-151	K08473
T03E6.4	Str-150	K08473
T03E6.5	Srh-269	K08473
T03F7.2	Srh-45	K08473
T03F7.3	Srh-46	K08473
T03F7.4	Srh-47	K08473
T05E12.1	Str-125	K08473
T06A1.2	Srj-16	K08473
T06C12.1	Str-60	K08473
T06C12.2	Str-57	K08473
T06C12.3	Str-56	K08473
T06E6.7	Srh-258	K08473
T06E6.8	Srh-264	K08473
T07C12.1	Srj-33	K08473
T08B6.3	Str-161	K08473
T08B6.6	Str-166	K08473
T08B6.7	Str-170	K08473
T08G3.1	Str-15	K08473
T08G3.2	Str-14	K08473
T09D3.1	Srd-9	K08473
T09F5.3	Str-45	K08473
T09F5.8	Srh-278	K08473
T10C6.1	Str-232	K08473
T10D4.8	Sri-54	K08473
T10H4.2	Str-96	K08473
T11F9.18	Srh-1	K08473
T13F3.1	Str-183	K08473
T16A9.2	Str-230	K08473
T18H9.4	Str-177	K08473
T19C9.3	Srh-252	K08473
T19E7.5	Srd-5	K08473
T19H12.4	Srd-33	K08473
T19H12.5	Srd-32	K08473
T19H12.7	Str-32	K08473
T20B3.3	Srh-215	K08473
T20C4.1	Srj-9	K08473
T21B4.14	Srh-73	K08473
T21B4.5	Srh-68	K08473
T21B4.6	Srh-67	K08473
T21B4.7	Srh-69	K08473
T22F3.5	Srh-213	K08473
T22F3.6	Srh-212	K08473
T22H2.1	Sri-12	K08473
T22H6.3	Str-124	K08473
T22H6.4	Str-123	K08473
T23D5.1	Str-27	K08473
T23D5.10	Str-6	K08473
T23D5.11	Str-8	K08473
T23D5.12	Str-5	K08473
T23D5.2	Str-38	K08473
T23D5.6	Str-18	K08473
T23D5.7	Str-19	K08473
T23D5.9	Str-43	K08473
T23F1.4	Str-71	K08473
T24A6.6	Str-260	K08473
T26E4.12	Srd-27	K08473
T26H2.6	Str-81	K08473
T26H5.3	Srh-239	K08473
T27C4.3	Str-30	K08473
T27C5.1	Srh-120	K08473
T27E7.8	Srh-63	K08473
T28A11.1	Str-64	K08473
T28A11.10	Srj-7	K08473
T28A11.12	Srj-11	K08473
T28A11.9	Srj-8	K08473
T28H11.2	Srm-1	K08473
T28H11.3	Srm-2	K08473
W02H5.6	Srh-271	K08473
W03D2.10	Str-122	K08473
W03F9.6	Srh-82	K08473
W05H5.4	Srh-27	K08473
W06D12.4	Str-77	K08473
W06D12.7	Srh-31	K08473
W06G6.3	Srd-21	K08473
W06H8.7	Str-206	K08473
W09D6.2	Str-261	K08473
W09D6.3	Str-246	K08473
Y102A5C.15	Srh-206	K08473
Y102A5C.28	Str-217	K08473
Y113G7A.1	Srh-233	K08473
Y113G7B.2	Srh-217	K08473
Y17G9A.1	Str-173	K08473
Y17G9A.5	Str-172	K08473
Y17G9A.6	Str-175	K08473
Y17G9A.7	Str-174	K08473
Y19D10A.13	Str-265	K08473
Y19D10A.15	Srd-75	K08473
Y22D7AR.8	Srd-64	K08473
Y22F5A.2	Sri-18	K08473
Y2H9A.2	Srd-17	K08473
Y32B12B.5	Str-149	K08473
Y38A10A.1	Srd-20	K08473
Y38A10A.3	Srh-10	K08473
Y39A3B.4	Srd-66	K08473
Y39H10B.1	Str-113	K08473
Y40B10B.2	Srj-15	K08473
Y40H7A.1	Str-78	K08473
Y40H7A.5	Srd-23	K08473
Y45F10B.14	Srd-10	K08473
Y45G12A.1	Srj-55	K08473
Y45G12C.12	Str-154	K08473
Y45G12C.14	Srj-19	K08473
Y45G12C.15	Srj-20	K08473
Y45G12C.7	Srd-73	K08473
Y45G12C.9	Srd-72	K08473
Y46H3D.2	Str-221	K08473
Y46H3D.3	Str-222	K08473
Y47G7B.1	Srh-128	K08473
Y49C4A.6	Srj-53	K08473
Y54G11A.12	Srh-41	K08473
Y54G11A.15	Srh-42	K08473
Y59A8A.4	Srh-286	K08473
Y59A8B.4	Srh-134	K08473
Y60A3A.3	Srh-183	K08473
Y68A4A.3	Str-199	K08473
Y68A4A.9	Srh-236	K08473
Y69E1A.6	Sri-19	K08473
Y6E2A.2	Str-101	K08473
Y6E2A.6	Srh-140	K08473
Y70C5C.4	Srh-137	K08473
Y73C8A.1	Str-16	K08473
Y73C8C.11	Str-69	K08473
Y73C8C.5	Str-66	K08473
Y73C8C.6	Str-68	K08473
Y73F8A.3	Srj-42	K08473
Y94A7B.1	Srh-292	K08473
Y94A7B.3	Srh-291	K08473
Y9C9A.10	Str-155	K08473
Y9C9A.11	Str-156	K08473
Y9C9A.2	Str-164	K08473
Y9C9A.3	Str-163	K08473
Y9C9A.4	Str-169	K08473
Y9C9A.6	Str-168	K08473
Y9C9A.7	Str-153	K08473
Y9C9A.9	Str-158	K08473
ZC132.7	Srh-192	K08473
ZC404.12	Srh-30	K08473
ZC404.5	Srh-28	K08473
ZC513.11	Str-138	K08473
ZC513.9	Str-139	K08473
ZK1037.8	Srh-295	K08473
ZK228.8	Srh-178	K08473
ZK262.10	Srj-26	K08473
ZK262.11	Srh-209	K08473
ZK285.1	Str-198	K08473
ZK697.10	Str-160	K08473
ZK697.11	Srh-199	K08473
ZK829.8	Srj-1	K08473
ZK863.5	Srd-4	K08473
ZK1067.1	Let-23	K04361
C16D9.2	Rol-3	K05088
F59F3.1	Ver-3	K05096
F59F3.5	Ver-4	K05096
T17A3.1	Ver-1	K05096
T10H9.2	Scd-2	K05119
F11D5.3	Ddr-2	K05125
C16B8.1	Lin-18	K05128
C32D5.2	Sma-6	K13579
C05D2.1	Daf-4	K13597
C01H6.5	Nhr-23	K08701
F11A1.3	Daf-12	K08701
F44A6.2	Sex-1	K08701
C45E1.1	Nhr-64	K07295
F56E3.4	Fax-1	K07295
T23H4.2	Nhr-69	K07295
C48D5.1	Nhr-6	K08704
T18D3.2	Odr-7	K08706
B0280.8	Nhr-10	K08708
C02B4.2	Nhr-17	K08708
C05G6.1	Nhr-76	K08708
C06B8.1	Nhr-150	K08708
C06C6.4	Nhr-63	K08708
C06G3.1	Nhr-105	K08708
C08F8.8	Nhr-67	K08708
C12D5.2	Nhr-152	K08708
C12D5.8	Nhr-94	K08708
C13C4.1	Nhr-153	K08708
C13C4.2	Nhr-154	K08708
C13C4.3	Nhr-136	K08708
C14C6.4	Nhr-155	K08708
C17A2.1	Nhr-257	K08708
C17A2.8	Nhr-72	K08708
C17E7.5	Nhr-157	K08708
C17E7.6	Nhr-158	K08708
C17E7.7	Nhr-159	K08708
C17E7.8	Nhr-124	K08708
C25B8.6	Nhr-120	K08708
C25E10.1	Nhr-30	K08708
C26B2.3	Nhr-31	K08708
C26B2.4	Nhr-258	K08708
C27C7.3	Nhr-74	K08708
C27C7.4	Nhr-73	K08708
C28D4.1	Nhr-100	K08708
C28D4.9	Nhr-138	K08708
C29E6.5	Nhr-43	K08708
C33G8.10	Nhr-162	K08708
C33G8.11	Nhr-107	K08708
C33G8.12	Nhr-163	K08708
C33G8.7	Nhr-161	K08708
C33G8.8	Nhr-139	K08708
C33G8.9	Nhr-140	K08708
C38C3.9	Nhr-260	K08708
C41G6.5	Nhr-164	K08708
C45E5.6	Nhr-46	K08708
C47F8.2	Nhr-165	K08708
C47F8.8	Nhr-81	K08708
C49D10.2	Nhr-166	K08708
C49D10.6	Nhr-75	K08708
C49D10.9	Nhr-261	K08708
C49F5.4	Nhr-167	K08708
C50B6.14	Nhr-129	K08708
C50B6.8	Nhr-168	K08708
C54C8.1	Nhr-169	K08708
C54E10.5	Nhr-170	K08708
C54F6.8	Nhr-171	K08708
C54F6.9	Nhr-172	K08708
C56E10.1	Nhr-173	K08708
E02H9.8	Nhr-121	K08708
E03H4.13	Nhr-89	K08708
E03H4.6	Nhr-174	K08708
F09C6.8	Nhr-262	K08708
F09C6.9	Nhr-116	K08708
F09F3.10	Nhr-175	K08708
F13A2.8	Nhr-118	K08708
F14A5.1	Nhr-264	K08708
F14H3.11	Nhr-176	K08708
F16B12.8	Nhr-281	K08708
F16B4.11	Nhr-179	K08708
F16B4.9	Nhr-178	K08708
F16H11.5	Nhr-45	K08708
F16H9.2	Nhr-27	K08708
F21D12.1	Nhr-21	K08708
F25E5.6	Nhr-141	K08708
F31F4.12	Nhr-180	K08708
F33E11.1	Nhr-15	K08708
F35E8.12	Nhr-108	K08708
F36A4.14	Nhr-78	K08708
F38H12.3	Nhr-181	K08708
F41B5.10	Nhr-183	K08708
F41B5.9	Nhr-182	K08708
F41D3.1	Nhr-82	K08708
F41D3.3	Nhr-265	K08708
F44A2.4	Nhr-39	K08708
F44C4.2	Nhr-37	K08708
F44C8.10	Nhr-126	K08708
F44C8.2	Nhr-134	K08708
F44C8.4	Nhr-103	K08708
F44C8.6	Nhr-56	K08708
F44C8.8	Nhr-133	K08708
F44E7.8	Nhr-142	K08708
F44G3.9	Nhr-111	K08708
F47C10.3	Nhr-186	K08708
F47C10.4	Nhr-187	K08708
F47C10.7	Nhr-188	K08708
F47C10.8	Nhr-189	K08708
F48G7.11	Nhr-190	K08708
F48G7.3	Nhr-83	K08708
F54B8.2	Nhr-282	K08708
F55D12.4	Unc-55	K08708
F56H1.2	Nhr-266	K08708
F57A10.5	Nhr-60	K08708
F57A10.6	Nhr-283	K08708
F57A8.5	Nhr-192	K08708
F57G8.6	Nhr-193	K08708
F58G6.5	Nhr-34	K08708
F59E11.10	Nhr-195	K08708
F59E11.11	Nhr-143	K08708
F59E11.8	Nhr-194	K08708
H10E21.3	Nhr-80	K08708
H12C20.3	Nhr-68	K08708
H12C20.6	Nhr-101	K08708
H22D14.1	Nhr-267	K08708
K01H12.3	Nhr-38	K08708
K06B4.1	Nhr-51	K08708
K06B4.10	Nhr-199	K08708
K06B4.5	Nhr-196	K08708
K06B4.6	Nhr-268	K08708
K06B4.7	Nhr-197	K08708
K06B4.8	Nhr-198	K08708
K08A2.5	Nhr-88	K08708
K08H2.8	Nhr-32	K08708
K10C3.6	Nhr-49	K08708
K12H6.1	Nhr-119	K08708
M02H5.1	Nhr-99	K08708
M02H5.3	Nhr-201	K08708
M02H5.4	Nhr-202	K08708
M02H5.5	Nhr-203	K08708
M02H5.7	Nhr-123	K08708
R02C2.4	Nhr-204	K08708
R02D1.1	Nhr-125	K08708
R04B5.3	Nhr-205	K08708
R04B5.4	Nhr-12	K08708
R07B7.13	Nhr-206	K08708
R07B7.14	Nhr-207	K08708
R07B7.15	Nhr-208	K08708
R07B7.16	Nhr-209	K08708
R08H2.9	Nhr-269	K08708
R10D12.2	Dpr-1	K08708
R11E3.5	Nhr-104	K08708
R11G11.1	Nhr-132	K08708
R11G11.12	Nhr-210	K08708
R11G11.2	Nhr-58	K08708
R13D11.8	Nhr-270	K08708
T01G6.2	Nhr-131	K08708
T01G6.4	Nhr-106	K08708
T01G6.5	Nhr-211	K08708
T01G6.7	Nhr-55	K08708
T01G6.8	Nhr-130	K08708
T03E6.3	Nhr-271	K08708
T05B4.2	Nhr-57	K08708
T06C12.13	Nhr-213	K08708
T06C12.6	Nhr-102	K08708
T06C12.7	Nhr-84	K08708
T07C5.2	Nhr-272	K08708
T07C5.3	Nhr-214	K08708
T07C5.4	Nhr-215	K08708
T07C5.5	Nhr-26	K08708
T09A12.4	Nhr-66	K08708
T09D3.4	Nhr-216	K08708
T09E11.2	Nhr-217	K08708
T12C9.1	Nhr-273	K08708
T12C9.5	Nhr-109	K08708
T13F3.2	Nhr-218	K08708
T13F3.3	Nhr-127	K08708
T15D6.6	Nhr-77	K08708
T19A5.5	Nhr-219	K08708
T19H12.8	Nhr-220	K08708
T24A6.11	Nhr-222	K08708
T24A6.8	Nhr-221	K08708
T26E4.16	Nhr-285	K08708
T26E4.8	Nhr-223	K08708
T26H2.9	Nhr-79	K08708
T27B7.2	Nhr-225	K08708
T27B7.3	Nhr-226	K08708
T27B7.4	Nhr-115	K08708
T27B7.5	Nhr-227	K08708
T27B7.6	Nhr-228	K08708
VC5.5	Nhr-135	K08708
Y116A8C.18	Nhr-229	K08708
Y15E3A.1	Nhr-91	K08708
Y17D7A.3	Nhr-65	K08708
Y17D7B.1	Nhr-231	K08708
Y22F5A.1	Nhr-232	K08708
Y32B12B.6	Nhr-233	K08708
Y38E10A.18	Nhr-234	K08708
Y39B6A.47	Nhr-145	K08708
Y40B10A.8	Nhr-86	K08708
Y41D4B.21	Nhr-274	K08708
Y41D4B.7	Nhr-87	K08708
Y41D4B.8	Nhr-92	K08708
Y41D4B.9	Nhr-122	K08708
Y46H3D.5	Nhr-110	K08708
Y46H3D.6	Nhr-237	K08708
Y46H3D.7	Nhr-238	K08708
Y51A2D.17	Nhr-70	K08708
Y5H2A.2	Nhr-275	K08708
Y67A6A.2	Nhr-62	K08708
Y69A2AR.26	Nhr-242	K08708
Y69H2.8	Nhr-241	K08708
Y70C5C.6	Nhr-112	K08708
Y71A12C.1	Nhr-276	K08708
Y80D3A.4	Nhr-243	K08708
Y94H6A.1	Nhr-277	K08708
ZK1025.10	Nhr-245	K08708
ZK1025.9	Nhr-113	K08708
ZK455.6	Nhr-33	K08708
ZK488.1	Nhr-250	K08708
ZK488.2	Nhr-90	K08708
ZK488.4	Nhr-251	K08708
ZK6.1	Nhr-278	K08708
ZK6.2	Nhr-252	K08708
ZK6.4	Nhr-253	K08708
ZK662.3	Nhr-48	K08708
ZK678.2	Nhr-255	K08708
ZK697.2	Nhr-256	K08708
F11H8.2	Lgc-38	K05270
T21C12.1	Unc-49	K05270
ZC482.1	Gab-1	K05270
C09G5.1	Ggr-1	K05397
C39B10.2	Lgc-41	K05397
F46F3.2	Lgc-44	K05397
T24D8.1	Lgc-40	K05397
W10G11.16	Lgc-45	K05397
Y39A3B.2	Lgc-42	K05397
B0207.12	Avr-14	K05273
F11A5.10	Glc-1	K05273
F25F8.2	Glc-2	K05273
R11G10.1	Avr-15	K05273
ZC317.3	Glc-3	K05273
C04C3.2	Lgc-9	K05312
C31H5.3	Acr-19	K05312
C40C9.2	Acr-9	K05312
D2092.3	Acr-11	K05312
F09E8.7	Lev-1	K05312
F21F3.5	Unc-38	K05312
F25G6.3	Acr-16	K05312
F25G6.4	Acr-15	K05312
F27B3.2	Acr-21	K05312
F28F8.1	Acr-18	K05312
F48E3.7	Lgc-11	K05312
F59B1.9	Acr-23	K05312
K03B8.9	Deg-3	K05312
K03F8.2	Acr-5	K05312
K11G12.2	Acr-2	K05312
K11G12.7	Acr-3	K05312
R01E6.4	Acr-12	K05312
R02E12.8	Acr-10	K05312
R13A5.4	Lgc-12	K05312
T08G11.5	Unc-29	K05312
T09A5.3	Acr-7	K05312
T26H10.1	Des-2	K05312
Y110A7A.3	Unc-63	K05312
Y48B6A.4	Eat-2	K05312
Y73F8A.30	Acr-24	K05312
ZC504.2	Acr-8	K05312
ZK973.5	Acr-6	K05312
B0280.12	Glr-2	K05313
C06A8.9	Glr-4	K05313
C06E1.4	Glr-1	K05313
C43H6.9	Glr-7	K05313
F41B4.4	Glr-6	K05313
K10D3.1	Glr-3	K05313
ZC196.7	Glr-5	K05313
F07F6.6	Nmr-1	K05208
T01C3.10	Nmr-2	K05314
C48A7.1	Egl-19	K05315
C54D2.5	Cca-1	K05315
T02C5.5	Unc-2	K05315
C50C3.9	Unc-36	K05316
T28F2.5	Ccb-1	K05317
R07A4.1	Egl-36	K05320
R186.5	Shw-3	K05320
C30D11.1	Unc-103	K05322
F16B3.1	Egl-2	K05322
C33D12.3	Twk-26	K05323
C40C9.1	Twk-20	K05323
C52B9.6	Twk-28	K05323
F19D8.1	Twk-23	K05323
F34D6.3	Sup-9	K05323
F52E4.4	Twk-16	K05323
K04A8.4	Twk-10	K05323
Y39B6A.19	Twk-46	K05323
ZK1067.5	Twk-4	K05323
Y54G9A.3	Kqt-3	K04926
C25B8.1	Kqt-1	K05324
M60.5	Kqt-2	K05324
Y51A2D.19	Slo-1	K04936
F14H8.6	Cng-1	K05326
F36F2.5	Tax-2	K05326
ZC84.2	Tax-4	K05326
F33D4.2	Itr-1	K02522
K11C4.5	Unc-68	K05327
K01A11.4	Spe-41	K05328
R06B10.4	Trp-2	K05328
ZC21.2	Trp-1	K05328
C05C12.3	Gtl-1	K05392
F54D1.5	Gtl-2	K05392
C29E6.2	TrpA-1	K04984
Y73F8A.1	Pkd-2	K04990
R13A5.1	Cup-5	K05329
K04G11.5	Irk-3	K05330
M02A10.2	Irk-2	K05330
R03E9.4	Irk-1	K05330
B0491.8	Clh-2	K05331
C07H4.2	Clh-5	K05331
E04F6.11	Clh-3	K05331
R07B7.1	Clh-6	K05331
T27D12.2	Clh-1	K05331
T03F7.1	Snf-11	K05034
Y54E10BR.7	Mod-5	K05037
C49C3.1	Snf-9	K05336
F55H12.1	Snf-2	K05336
T13B5.1	Snf-3	K05336
T23G5.5	Dat-1	K05336
W03G9.1	Snf-1	K05336
Y32F6A.2	Snf-10	K05336
Y46G5A.25	Snf-4	K05336
Y46G5A.30	Snf-5	K05336
ZK1010.9	Snf-7	K05336
C32C4.2	Aqp-6	K09884
C35A5.1	Aqp-5	K09884
F40F9.9	Aqp-4	K09884
Y57A10A.35	Aqp-12	K09884
ZK1321.3	Aqp-10	K09884
C01G6.1	Aqp-2	K09886
F32A5.5	Aqp-1	K09886
K02G10.7	Aqp-8	K09886
M02F4.8	Aqp-7	K09886
Y69E1A.7	Aqp-3	K09886
T07A9.2	Ers-3	K01885
ZC434.5	Ers-2	K01885
Y41E3.4	Ers-1	K01886
Y80D3A.1	Wrs-1	K01867
Y23H5A.7	Crs-1	K01883
C29H12.1	Rrt-2	K01887
F26F4.10	Rrt-1	K01887
F58B3.5	Mrs-1	K01874
C25A1.7	Irs-2	K01870
R11A8.6	Irs-1	K01870
Y87G2A.5	Vrs-2	K01873
ZC513.4	Vrs-1	K01873
R74.1	Lrs-1	K01869
ZK524.3	Lrs-2	K01869
T02G5.9	Krs-1	K04567
B0464.1	Drs-1	K01876
F10C2.6	Drs-2	K01876
F22D6.3	Nrs-1	K01893
T11G6.1	Hrs-1	K01892
T10F2.1	Grs-1	K01880
C47E12.1	Srs-2	K01875
W03B1.4	Srs-1	K01875
T20H4.3	Prs-1	K01881
T27F6.5	Prs-2	K01881
C47D12.6	Trs-1	K01868
F28H1.3	Ars-2	K01872
W02B12.6	Ars-1	K01872
T08B2.9	Frs-1	K01889
Y60A3A.13	Frs-3	K01889
F22B5.9	Frs-2	K01890
R03A10.4	NkaT-3	K00816
F43H9.2	SptL-2	K00654
T22G5.5	SptL-3	K00654
K04D7.3	Gta-1	K13524
K02A4.1	BcaT-1	K00826
F41G3.12	Agr-1	K06254
ZK1058.2	Pat-3	K05719
C05D11.4	Let-756	K04358
C05D11.4	Let-756	K04358
C05D11.4	Let-756	K04358
C05D11.4	Let-756	K04358
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
F41G3.12	Agr-1	K06254
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
K08C7.3	Epi-1	K06240
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
K08C7.3	Epi-1	K06240
C54D1.5	Lam-2	K05635
ZK1058.2	Pat-3	K05719
F01G12.5	Let-2	K06237
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
ZK1058.2	Pat-3	K05719
F01G12.5	Let-2	K06237
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
F01G12.5	Let-2	K06237
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
K08C7.3	Epi-1	K06240
K08C7.3	Epi-1	K06240
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
K08C7.3	Epi-1	K06240
C54D1.5	Lam-2	K05635
F54F3.1	Nid-1	K06826
ZK154.7	Adm-4	K06059
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
K08C7.3	Epi-1	K06240
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
K08C7.3	Epi-1	K06240
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
K08C7.3	Epi-1	K06240
C54D1.5	Lam-2	K05635
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
F01G12.5	Let-2	K06237
F01G12.5	Let-2	K06237
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
T22A3.8	Lam-3	K05637
W03F8.5	Lam-1	K05636
C54D1.5	Lam-2	K05635
K08C7.3	Epi-1	K06240
F01G12.5	Let-2	K06237
F01G12.5	Let-2	K06237
C05D11.4	Let-756	K04358
K12G11.3	SodH-1	K13953
K12G11.4	SodH-2	K13953
F47G4.3	GpdH-1	K00006
K11H3.1	GpdH-2	K00006
R11D1.11	Dhs-21	K03331
F29F11.1	Sqv-4	K00012
F13D12.2	Ldh-1	K00016
F01G10.2	Ech-8	K00022
F01G10.3	Ech-9	K00022
R09B5.6	HacD-1	K00022
F01G4.2	Ard-1	K08683
F20H11.3	Mdh-1	K00026
F01G4.2	Ard-1	K08683
C29F3.1	Ech-1	K07515
R01H2.5	Ger-1	K02377
C06B3.4	StdH-1	K00100
C06B3.5	StdH-3	K00100
C56G2.6	Let-767	K00100
F11A5.12	StdH-2	K00100
F25G6.5	StdH-4	K00100
F36H9.3	Dhs-13	K11147
Y32H12A.3	Dhs-9	K11163
F54D8.3	Alh-1	K00128
K04F1.15	Alh-2	K00128
T05H4.13	Alh-4	K00128
F01F1.6	Alh-9	K14085
T08B1.3	Alh-5	K00129
F01F1.6	Alh-9	K14085
F33H1.2	Gpd-4	K00134
K10B3.7	Gpd-3	K00134
K10B3.8	Gpd-2	K00134
T09F3.3	Gpd-1	K00134
F45H10.1	Alh-7	K00139
F13D12.4	Alh-8	K00140
F01F1.6	Alh-9	K14085
F27D4.5	Tag-173	K00167
C25F6.3	DpyD-1	K00207
C15F1.6	Art-1	K10258
C03G5.1	SdhA-1	K00234
C34B2.7	SdhA-2	K00234
F42A8.2	SdhB-1	K00235
T07C4.7	Mev-1	K00236
F33A8.5	SdhD-1	K00237
W02D3.2	DhoD-1	K00254
K05F1.3	AcdH-8	K00249
T08G2.3	AcdH-10	K00249
T25G12.5	AcdH-7	K00249
C02B10.1	Ivd-1	K00253
K06A5.6	AcdH-3	K09478
T10E9.9	AcdH-4	K00257
F28A10.6	AcdH-9	K11538
C36B1.7	DhfR-1	K00287
F36H1.6	Alh-3	K00289
F56D12.1	Alh-6	K00294
K07E3.3	Dao-3	K13403
T03F6.1	QdpR-1	K00357
C05D11.12	Let-721	K00311
C15H9.1	Nnt-1	K00323
K10D2.6	Emb-8	K00327
F56C11.1	Bli-3	K13411
Y45G12B.1	Nuo-5	K03934
K09A9.5	Gas-1	K03935
T26A5.3	NduF-2.2	K03935
T10E9.7	Nuo-2	K03936
ZK973.10	Lpd-5	K03937
Y54E10BL.5	NduF-5	K03938
F22D6.4	NduF-6	K03939
W10D5.2	NduF-7	K03940
C09H10.3	Nuo-1	K03942
Y57G11C.12	Nuo-3	K03950
K04G7.4	Nuo-4	K03954
Y45G12B.1	Nuo-5	K03934
K09A9.5	Gas-1	K03935
T26A5.3	NduF-2.2	K03935
T10E9.7	Nuo-2	K03936
ZK973.10	Lpd-5	K03937
Y54E10BL.5	NduF-5	K03938
F22D6.4	NduF-6	K03939
W10D5.2	NduF-7	K03940
C09H10.3	Nuo-1	K03942
Y57G11C.12	Nuo-3	K03950
K04G7.4	Nuo-4	K03954
ZK637.10	TrxR-2	K00383
C06G3.7	TrxR-1	K00384
Y37D8A.14	Cco-2	K02264
F26E4.9	Cco-1	K02265
F54D8.2	Tag-174	K02266
F42G8.12	Isp-1	K00411
C54G4.8	Cyc-1	K00413
T10B10.2	Ucr-2.2	K00415
T24C4.1	Ucr-2.3	K00415
VW06B3R.1	Ucr-2.1	K00415
Y54G11A.13	Ctl-3	K03781
Y54G11A.5	Ctl-2	K03781
Y54G11A.6	Ctl-1	K03781
R07E5.2	PrdX-3	K03386
F56C11.1	Bli-3	K13411
W06D4.1	Hgo-1	K00451
T21C12.2	Hpd-1	K00457
D2089.5	Gbh-1	K00471
M05D6.7	Gbh-2	K00471
F35G2.4	Phy-2	K00472
Y47D3B.10	Dpy-18	K00472
F52H3.1	Let-268	K13647
Y48B6A.11	JmjD-2	K06709
ZK593.4	Rbr-2	K11446
D2021.1	Utx-1	K11447
F18E9.5	Tag-279	K11447
H24K24.5	Fmo-5	K00485
K08C7.2	Fmo-1	K00485
K08C7.5	Fmo-2	K00485
Y39A1A.19	Fmo-3	K00485
K07B1.2	Coq-6	K06126
ZC395.2	Clk-1	K06134
C49C8.4	Cyp-33e1	K00493
F42A9.5	Cyp-33e2	K00493
R08F11.3	Cyp-33c8	K00493
Y49C4A.9	Cyp-33c11	K00493
K08F8.4	Pah-1	K00500
H13N06.6	Tbh-1	K00503
C34G6.2	Tyr-4	K00505
F10D2.9	Fat-7	K00507
VZK822L.1	Fat-6	K00507
W06D12.3	Fat-5	K00507
Y67H2A.8	Fat-1	K10257
C14A4.1	Tag-242	K06072
C34B7.3	Cyp-36a1	K00517
F02C12.5	Cyp-13b1	K00517
T10B9.1	Cyp-13a4	K00517
T10B9.10	Cyp-13a7	K00517
T10B9.2	Cyp-13a5	K00517
T10B9.3	Cyp-13a6	K00517
T10B9.4	Cyp-13a8	K00517
T10B9.5	Cyp-13a3	K00517
T10B9.7	Cyp-13a2	K00517
T10B9.8	Cyp-13a1	K00517
ZK177.5	Cyp-44a1	K00517
