Dmel_CG17759	GalPha49b	K04634
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG3752	AldH	K00128
Dmel_CG8694	LvpD	K01187
Dmel_CG8695	LvpL	K01187
Dmel_CG8696	LvpH	K01187
Dmel_CG4104	Tps1	K00697
Dmel_CG9364	TreH	K01194
Dmel_CG10072	Sgl	K00012
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG4347	Ugp	K00963
Dmel_CG5165	Pgm	K01835
Dmel_CG3001	Hex-a	K00844
Dmel_CG32849	Hex-t2	K00844
Dmel_CG33102	Hex-t1	K00844
Dmel_CG8094	Hex-c	K00844
Dmel_CG8251	Pgi	K01810
Dmel_CG7254	GlyP	K00688
Dmel_CG17876	Amy-d	K01176
Dmel_CG18730	Amy-p	K01176
Dmel_CG8221	AmyRel	K01176
Dmel_CG10531	Cht9	K01183
Dmel_CG18140	Cht3	K01183
Dmel_CG1869	Cht7	K01183
Dmel_CG2054	Cht2	K01183
Dmel_CG2989	Cht6	K01183
Dmel_CG30293	Cht12	K01183
Dmel_CG3044	Cht11	K01183
Dmel_CG3986	Cht4	K01183
Dmel_CG9118	LysD	K01183
Dmel_CG9307	Cht5	K01183
Dmel_CG9357	Cht8	K01183
Dmel_CG1318	HexO1	K12373
Dmel_CG1787	HexO2	K12373
Dmel_CG8824	Fdl	K12373
Dmel_CG9535	Mmy	K00972
Dmel_CG5232	Sas	K05304
Dmel_CG32220	CsaS	K00983
Dmel_CG2666	Kkv	K00698
Dmel_CG7464	Cs-2	K00698
Dmel_CG3001	Hex-a	K00844
Dmel_CG32849	Hex-t2	K00844
Dmel_CG33102	Hex-t1	K00844
Dmel_CG8094	Hex-c	K00844
Dmel_CG6957	OscIllin	K02564
Dmel_CG12449	GfaT1	K00820
Dmel_CG1345	GfaT2	K00820
Dmel_CG8251	Pgi	K01810
Dmel_CG5165	Pgm	K01835
Dmel_CG4347	Ugp	K00963
Dmel_CG10072	Sgl	K00012
Dmel_CG8073	Pmm45a	K01840
Dmel_CG8890	Gmd	K01711
Dmel_CG3495	GmeR	K02377
Dmel_CG9390	AccOas	K01895
Dmel_CG7010	L(1)g0334	K00161
Dmel_CG7070	Pyk	K00873
Dmel_CG16870	AcyP	K01512
Dmel_CG18505	AcyP2	K01512
Dmel_CG3752	AldH	K00128
Dmel_CG10160	ImpL3	K00016
Dmel_CG10120	Men	K00029
Dmel_CG5889	Mdh	K00029
Dmel_CG7964	MenL-1	K00029
Dmel_CG7969	MenL-2	K00029
Dmel_CG17725	PepCk	K01596
Dmel_CG3861	Kdn	K01647
Dmel_CG4900	Irp-1a	K01681
Dmel_CG6342	Irp-1b	K01681
Dmel_CG9244	AcoN	K01681
Dmel_CG2227	Gip	K01816
Dmel_CG4067	Pug	K00288
Dmel_CG18466	NmdMc	K13403
Dmel_CG9390	AccOas	K01895
Dmel_CG1065	ScsAlpha	K01899
Dmel_CG10622	SucB	K01900
Dmel_CG11963	SkaP	K01900
Dmel_CG3752	AldH	K00128
Dmel_CG10160	ImpL3	K00016
Dmel_CG4703	Arc42	K00248
Dmel_CG4685	SsaDh	K00139
Dmel_CG14994	Gad1	K01580
Dmel_CG7811	B	K01580
Dmel_CG4311	HmgS	K01641
Dmel_CG7010	L(1)g0334	K00161
Dmel_CG5373	Pi3K59f	K00914
Dmel_CG7004	Fwd	K00888
Dmel_CG3682	Pip5k59b	K00889
Dmel_CG9985	SktL	K00889
Dmel_CG6562	SynJ	K01099
Dmel_CG3620	NorPa	K05858
Dmel_CG4574	Plc21c	K05858
Dmel_CG4200	Sl	K05859
Dmel_CG4141	Pi3K92e	K00922
Dmel_CG5671	PteN	K01110
Dmel_CG11621	Pi3K68d	K00923
Dmel_CG6355	Fab1	K00921
Dmel_CG9245	Pis	K00999
Dmel_CG11143	InoS	K01858
Dmel_CG3028	Ipp	K01107
Dmel_CG4317	MipP2	K03103
Dmel_CG34359	Ip3K2	K00911
Dmel_CG4026	Ip3K1	K00911
Dmel_CG30295	Ipk1	K10572
Dmel_CG2171	Tpi	K01803
Dmel_CG2286	Nd75	K03934
Dmel_CG3944	Nd23	K03941
Dmel_CG6343	Nd42	K03954
Dmel_CG9160	MtaCp1	K03955
Dmel_CG9762	L(3)neo18	K03961
Dmel_CG13240	L(2)35di	K03962
Dmel_CG8844	PdsW	K03966
Dmel_CG6666	SdhC	K00236
Dmel_CG17246	Scs-fp	K00234
Dmel_CG3283	SdhB	K00235
Dmel_CG7361	RfeSp	K00411
Dmel_CG8764	Ox	K00419
Dmel_CG14724	CovA	K02264
Dmel_CG17280	LevY	K02266
Dmel_CG14028	CypE	K02268
Dmel_CG9032	Sun	K02135
Dmel_CG2968	L(1)g0230	K02134
Dmel_CG3612	Blw	K02132
Dmel_CG4307	OscP	K02137
Dmel_CG8189	AtpSyn-b	K02127
Dmel_CG6030	AtpSyn-d	K02138
Dmel_CG6105	L(2)06225	K02140
Dmel_CG2934	VhaAc39	K02146
Dmel_CG8210	Vha14	K02151
Dmel_CG8048	Vha44	K02148
Dmel_CG12403	Vha68-1	K02145
Dmel_CG3762	Vha68-2	K02145
Dmel_CG17369	Vha55	K02147
Dmel_CG1088	Vha26	K02150
Dmel_CG3161	Vha16	K02155
Dmel_CG32089	Vha16-2	K02155
Dmel_CG32090	Vha16-3	K02155
Dmel_CG7007	VhaPpa1-1	K03661
Dmel_CG1709	Vha100-1	K02154
Dmel_CG18617	Vha100-2	K02154
Dmel_CG30329	Vha100-3	K02154
Dmel_CG8186	Vha36	K02149
Dmel_CG11589	VhaM9.7-1	K02153
Dmel_CG7625	VhaM9.7-2	K02153
Dmel_CG6213	Vha13	K02152
Dmel_CG17332	VhaSfd	K02144
Dmel_CG4634	NurF-38	K11726
Dmel_CG6906	Cah2	K01672
Dmel_CG7820	Cah1	K01672
Dmel_CG5320	Gdh	K00261
Dmel_CG1743	Gs2	K01915
Dmel_CG2718	Gs1	K01915
Dmel_CG8772	NemY	K01425
Dmel_CG5345	Eip55e	K01758
Dmel_CG8363	PapSs	K13811
Dmel_CG7842	Beg	K00645
Dmel_CG4600	Yip2	K07508
Dmel_CG4581	ThiOlase	K07509
Dmel_CG12108	Ppt1	K01074
Dmel_CG4851	Ppt2	K01074
Dmel_CG4600	Yip2	K07508
Dmel_CG4581	ThiOlase	K07509
Dmel_CG9707	AcoX57d-p	K00232
Dmel_CG9709	AcoX57d-d	K00232
Dmel_CG4703	Arc42	K00248
Dmel_CG8732	L(2)44dea	K01897
Dmel_CG12891	CptI	K08765
Dmel_CG6598	Fdh	K00121
Dmel_CG3481	Adh	K00001
Dmel_CG3752	AldH	K00128
Dmel_CG4311	HmgS	K01641
Dmel_CG3752	AldH	K00128
Dmel_CG1216	Mri	K00864
Dmel_CG18374	Gyk	K00864
Dmel_CG11440	LazA	K01080
Dmel_CG8804	Wun	K01080
Dmel_CG8805	Wun2	K01080
Dmel_CG34344	RdgA	K00901
Dmel_CG34361	Dgk	K00901
Dmel_CG31991	Mdy	K11155
Dmel_CG9042	GpdH	K00006
Dmel_CG8256	Gpo-1	K00111
Dmel_CG4625	DhaP-at	K00649
Dmel_CG11440	LazA	K01080
Dmel_CG8804	Wun	K01080
Dmel_CG8805	Wun2	K01080
Dmel_CG34344	RdgA	K00901
Dmel_CG34361	Dgk	K00901
Dmel_CG12110	Pld	K01115
Dmel_CG11124	SplA2	K01047
Dmel_CG1583	GiiIspla2	K01047
Dmel_CG17035	GxiVspla2	K01047
Dmel_CG6718	IplA2-via	K01047
Dmel_CG9655	Nes	K13515
Dmel_CG12345	Cha	K00623
Dmel_CG17907	Ace	K01049
Dmel_CG1049	Cct1	K00968
Dmel_CG18330	Cct2	K00968
Dmel_CG6016	Bbc	K00993
Dmel_CG3525	Eas	K00894
Dmel_CG5547	PecT	K00967
Dmel_CG7962	CdsA	K00981
Dmel_CG8766	Taz	K13511
Dmel_CG9245	Pis	K00999
Dmel_CG11440	LazA	K01080
Dmel_CG8804	Wun	K01080
Dmel_CG8805	Wun2	K01080
Dmel_CG6016	Bbc	K00993
Dmel_CG11124	SplA2	K01047
Dmel_CG1583	GiiIspla2	K01047
Dmel_CG17035	GxiVspla2	K01047
Dmel_CG6718	IplA2-via	K01047
Dmel_CG12110	Pld	K01115
Dmel_CG8440	Lis-1	K01062
Dmel_CG4016	Spt-i	K00654
Dmel_CG4162	LacE	K00654
Dmel_CG1471	CdaSe	K12349
Dmel_CG13969	Bwa	K01441
Dmel_CG9078	Ifc	K04712
Dmel_CG11440	LazA	K01080
Dmel_CG8804	Wun	K01080
Dmel_CG8805	Wun2	K01080
Dmel_CG1747	Sk1	K04718
Dmel_CG8946	SplY	K01634
Dmel_CG6437	GlcT-1	K00720
Dmel_CG3132	Ect3	K12309
Dmel_CG9092	Gal	K12309
Dmel_CG11124	SplA2	K01047
Dmel_CG1583	GiiIspla2	K01047
Dmel_CG17035	GxiVspla2	K01047
Dmel_CG6718	IplA2-via	K01047
Dmel_CG12013	PhgPx	K00432
Dmel_CG4421	GstD8	K00432
Dmel_CG11124	SplA2	K01047
Dmel_CG1583	GiiIspla2	K01047
Dmel_CG17035	GxiVspla2	K01047
Dmel_CG6718	IplA2-via	K01047
Dmel_CG11466	Cyp9f2	K07424
Dmel_CG11124	SplA2	K01047
Dmel_CG1583	GiiIspla2	K01047
Dmel_CG17035	GxiVspla2	K01047
Dmel_CG6718	IplA2-via	K01047
Dmel_CG9707	AcoX57d-p	K00232
Dmel_CG9709	AcoX57d-d	K00232
Dmel_CG10849	Sc2	K10258
Dmel_CG5887	DesAt1	K00507
Dmel_CG5925	DesAt2	K00507
Dmel_CG7923	Fad2	K00507
Dmel_CG9707	AcoX57d-p	K00232
Dmel_CG9709	AcoX57d-d	K00232
Dmel_CG5165	Pgm	K01835
Dmel_CG10078	PraT2	K00764
Dmel_CG2867	PraT	K00764
Dmel_CG31628	Ade3	K11787
Dmel_CG9127	Ade2	K01952
Dmel_CG3989	Ade5	K01587
Dmel_CG18315	AprT	K00759
Dmel_CG4827	VeiL	K01081
Dmel_CG1799	Ras	K00088
Dmel_CG2210	Awd	K00940
Dmel_CG5310	NmdYn-d6	K00940
Dmel_CG8362	NmdYn-d7	K00940
Dmel_CG7642	Ry	K00106
Dmel_CG31713	Apf	K01518
Dmel_CG9242	Bur	K01951
Dmel_CG31349	Pyd	K00942
Dmel_CG32717	Sdt	K00942
Dmel_CG7070	Pyk	K00873
Dmel_CG5371	RnrL	K10807
Dmel_CG8975	RnrS	K10808
Dmel_CG10122	Rpi1	K02999
Dmel_CG4033	Rpi135	K03002
Dmel_CG13418	Rpi12	K03000
Dmel_CG1554	RpiI215	K03006
Dmel_CG3180	RpiI140	K03010
Dmel_CG7885	RpiI33	K03011
Dmel_CG33520	Rpb4	K03012
Dmel_CG11979	Rpb5	K03013
Dmel_CG1163	RpiI18	K03014
Dmel_CG31155	Rpb7	K03015
Dmel_CG11246	Rpb8	K03016
Dmel_CG3284	RpiI15	K03017
Dmel_CG13628	Rpb10	K03007
Dmel_CG6840	Rpb11	K03008
Dmel_CG8344	RpiIi128	K03021
Dmel_CG10685	L(2)37cg	K03020
Dmel_CG10489	PolE2	K02325
Dmel_CG13399	ChrAc-14	K02326
Dmel_CG11301	Mes4	K03506
Dmel_CG10255	Lap1	K01768
Dmel_CG1506	Ac3	K01768
Dmel_CG17174	AcxB	K01768
Dmel_CG17176	AcxA	K01768
Dmel_CG5712	AcxD	K01768
Dmel_CG5983	AcxC	K01768
Dmel_CG9533	Rut	K01768
Dmel_CG7978	Ac76e	K08042
Dmel_CG10564	Ac78c	K08048
Dmel_CG9210	Ac13e	K08049
Dmel_CG14885	Gyc-89da	K01769
Dmel_CG33114	Gyc32e	K01769
Dmel_CG32498	Dnc	K01120
Dmel_CG5411	Pde8	K01120
Dmel_CG42325	Pde1c	K13755
Dmel_CG9296	PrbP	K13758
Dmel_CG8279	Pde6	K13763
Dmel_CG42276	Pde9	K13761
Dmel_CG34341	Pde11	K13298
Dmel_CG1851	Ady43a	K00856
Dmel_CG10143	AdgF-e	K01488
Dmel_CG11994	Ada	K01488
Dmel_CG5992	AdgF-a	K01488
Dmel_CG5998	AdgF-b	K01488
Dmel_CG9621	AdgF-d	K01488
Dmel_CG17146	Adk1	K00939
Dmel_CG3140	Adk2	K00939
Dmel_CG6612	Adk3	K00939
Dmel_CG8363	PapSs	K13811
Dmel_CG7171	Uro	K00365
Dmel_CG18572	R	K11540
Dmel_CG9741	DhoD	K00254
Dmel_CG3593	R-l	K13421
Dmel_CG6092	Dak1	K13800
Dmel_CG2210	Awd	K00940
Dmel_CG5310	NmdYn-d6	K00940
Dmel_CG8362	NmdYn-d7	K00940
Dmel_CG10122	Rpi1	K02999
Dmel_CG4033	Rpi135	K03002
Dmel_CG13418	Rpi12	K03000
Dmel_CG1554	RpiI215	K03006
Dmel_CG3180	RpiI140	K03010
Dmel_CG7885	RpiI33	K03011
Dmel_CG33520	Rpb4	K03012
Dmel_CG11979	Rpb5	K03013
Dmel_CG1163	RpiI18	K03014
Dmel_CG31155	Rpb7	K03015
Dmel_CG11246	Rpb8	K03016
Dmel_CG3284	RpiI15	K03017
Dmel_CG13628	Rpb10	K03007
Dmel_CG6840	Rpb11	K03008
Dmel_CG8344	RpiIi128	K03021
Dmel_CG10685	L(2)37cg	K03020
Dmel_CG10489	PolE2	K02325
Dmel_CG13399	ChrAc-14	K02326
Dmel_CG11301	Mes4	K03506
Dmel_CG4827	VeiL	K01081
Dmel_CG2194	Su(R)	K00207
Dmel_CG1411	CrmP	K01464
Dmel_CG3027	Pyd3	K01431
Dmel_CG11401	TrxR-2	K00384
Dmel_CG2151	TrxR-1	K00384
Dmel_CG5371	RnrL	K10807
Dmel_CG8975	RnrS	K10808
Dmel_CG4584	DutPase	K01520
Dmel_CG3181	Ts	K00560
Dmel_CG31713	Apf	K01518
Dmel_CG6187	RluA-2	K01718
Dmel_CG4233	Got2	K00813
Dmel_CG8430	Got1	K00813
Dmel_CG3926	SpaT	K00830
Dmel_CG14994	Gad1	K01580
Dmel_CG7811	B	K01580
Dmel_CG4685	SsaDh	K00139
Dmel_CG5320	Gdh	K00261
Dmel_CG1743	Gs2	K01915
Dmel_CG2718	Gs1	K01915
Dmel_CG18572	R	K11540
Dmel_CG8772	NemY	K01425
Dmel_CG12449	GfaT1	K00820
Dmel_CG1345	GfaT2	K00820
Dmel_CG10078	PraT2	K00764
Dmel_CG2867	PraT	K00764
Dmel_CG3705	Aay	K01079
Dmel_CG3017	AlaS	K00643
Dmel_CG3926	SpaT	K00830
Dmel_CG1152	Gld	K00108
Dmel_CG9504	Eo	K00108
Dmel_CG5345	Eip55e	K01758
Dmel_CG5345	Eip55e	K01758
Dmel_CG2674	M(2)21ab	K00789
Dmel_CG5029	SamDc	K01611
Dmel_CG8327	SpdS	K00797
Dmel_CG10692	Mt2	K00558
Dmel_CG11654	AhcY13	K01251
Dmel_CG8956	AhcY89e	K01251
Dmel_CG4233	Got2	K00813
Dmel_CG8430	Got1	K00813
Dmel_CG10160	ImpL3	K00016
Dmel_CG4703	Arc42	K00248
Dmel_CG7113	Scu	K08683
Dmel_CG4600	Yip2	K07508
Dmel_CG4581	ThiOlase	K07509
Dmel_CG3752	AldH	K00128
Dmel_CG4311	HmgS	K01641
Dmel_CG7479	AatS-leu	K01869
Dmel_CG11471	AatS-ile	K01870
Dmel_CG4062	AatS-val	K01873
Dmel_CG7010	L(1)g0334	K00161
Dmel_CG7144	Lkr	K14157
Dmel_CG7144	Lkr	K14157
Dmel_CG11661	Nc73ef	K00164
Dmel_CG8887	Ash1	K06101
Dmel_CG10272	Gpp	K11427
Dmel_CG2995	G9a	K11420
Dmel_CG4976	Mes-4	K11424
Dmel_CG1716	Set2	K11423
Dmel_CG3307	Pr-Set7	K11428
Dmel_CG12196	Egg	K11421
Dmel_CG13363	Suv4-20	K11429
Dmel_CG3752	AldH	K00128
Dmel_CG8719	Odc2	K01581
Dmel_CG8721	Odc1	K01581
Dmel_CG8327	SpdS	K00797
Dmel_CG5029	SamDc	K01611
Dmel_CG3752	AldH	K00128
Dmel_CG32031	ArgK	K00934
Dmel_CG8782	Oat	K00819
Dmel_CG6009	P5cR	K00286
Dmel_CG1417	SlgA	K00318
Dmel_CG4233	Got2	K00813
Dmel_CG8430	Got1	K00813
Dmel_CG18104	Arg	K01476
Dmel_CG6713	Nos	K13253
Dmel_CG8772	NemY	K01425
Dmel_CG1743	Gs2	K01915
Dmel_CG2718	Gs1	K01915
Dmel_CG5320	Gdh	K00261
Dmel_CG3454	Hdc	K01590
Dmel_CG10697	Ddc	K01593
Dmel_CG3752	AldH	K00128
Dmel_CG11140	AldH-iii	K00129
Dmel_CG4233	Got2	K00813
Dmel_CG8430	Got1	K00813
Dmel_CG4779	Hgo	K00451
Dmel_CG14993	Faa	K01555
Dmel_CG42639	ProPo-a1	K00505
Dmel_CG10118	Ple	K00501
Dmel_CG10697	Ddc	K01593
Dmel_CG1543	Tbh	K00503
Dmel_CG11140	AldH-iii	K00129
Dmel_CG6598	Fdh	K00121
Dmel_CG3481	Adh	K00001
Dmel_CG7399	Hn	K00500
Dmel_CG10697	Ddc	K01593
Dmel_CG11140	AldH-iii	K00129
Dmel_CG4233	Got2	K00813
Dmel_CG8430	Got1	K00813
Dmel_CG3083	Prx6005	K11188
Dmel_CG11765	Prx2540-2	K00430
Dmel_CG12405	Prx2540-1	K00430
Dmel_CG2155	V	K00453
Dmel_CG1555	Cn	K00486
Dmel_CG11661	Nc73ef	K00164
Dmel_CG10697	Ddc	K01593
Dmel_CG3752	AldH	K00128
Dmel_CG3318	Dat	K00669
Dmel_CG9735	AatS-trp	K01867
Dmel_CG6871	Cat	K03781
Dmel_CG4233	Got2	K00813
Dmel_CG8430	Got1	K00813
Dmel_CG7399	Hn	K00500
Dmel_CG14994	Gad1	K01580
Dmel_CG7811	B	K01580
Dmel_CG3752	AldH	K00128
Dmel_CG8327	SpdS	K00797
Dmel_CG2194	Su(R)	K00207
Dmel_CG1411	CrmP	K01464
Dmel_CG3027	Pyd3	K01431
Dmel_CG14994	Gad1	K01580
Dmel_CG7811	B	K01580
Dmel_CG5345	Eip55e	K01758
Dmel_CG11654	AhcY13	K01251
Dmel_CG8956	AhcY89e	K01251
Dmel_CG2674	M(2)21ab	K00789
Dmel_CG31322	AatS-met	K01874
Dmel_CG8363	PapSs	K13811
Dmel_CG5025	Sps2	K01008
Dmel_CG8553	SelD	K01008
Dmel_CG8772	NemY	K01425
Dmel_CG5320	Gdh	K00261
Dmel_CG2259	GclC	K11204
Dmel_CG4919	GclM	K11205
Dmel_CG6835	Gs	K01920
Dmel_CG4750	LooPin-1	K01255
Dmel_CG9285	Dip-b	K01255
Dmel_CG11956	Sp1029	K11140
Dmel_CG10045	GstD1	K00799
Dmel_CG10091	GstD9	K00799
Dmel_CG11512	GstD4	K00799
Dmel_CG12242	GstD5	K00799
Dmel_CG1742	MgsTl	K00799
Dmel_CG17522	GstE10	K00799
Dmel_CG17523	GstE2	K00799
Dmel_CG17524	GstE3	K00799
Dmel_CG17525	GstE4	K00799
Dmel_CG17527	GstE5	K00799
Dmel_CG17530	GstE6	K00799
Dmel_CG17531	GstE7	K00799
Dmel_CG17534	GstE9	K00799
Dmel_CG18548	GstD10	K00799
Dmel_CG33546	GfzF	K00799
Dmel_CG4181	GstD2	K00799
Dmel_CG4371	GstD7	K00799
Dmel_CG4381	GstD3	K00799
Dmel_CG4423	GstD6	K00799
Dmel_CG5164	GstE1	K00799
Dmel_CG6781	Se	K00310
Dmel_CG8938	GstS1	K00799
Dmel_CG7176	Idh	K00031
Dmel_CG3724	Pgd	K00033
Dmel_CG12529	Zw	K00036
Dmel_CG12013	PhgPx	K00432
Dmel_CG4421	GstD8	K00432
Dmel_CG8719	Odc2	K01581
Dmel_CG8721	Odc1	K01581
Dmel_CG8327	SpdS	K00797
Dmel_CG5371	RnrL	K10807
Dmel_CG8975	RnrS	K10808
Dmel_CG7870	Wol	K00729
Dmel_CG4084	L(2)not	K03845
Dmel_CG32076	Alg10	K03850
Dmel_CG7748	OstStt3	K07151
Dmel_CG9022	Ost48	K12670
Dmel_CG13431	MgaT1	K00726
Dmel_CG7921	MgaT2	K00736
Dmel_CG2448	FucT6	K00717
Dmel_CG4871	St6Gal	K00778
Dmel_CG6869	FucTa	K00753
Dmel_CG2103	PgaNt6	K00710
Dmel_CG31651	PgaNt5	K00710
Dmel_CG31956	PgaNt4	K00710
Dmel_CG3254	PgaNt2	K00710
Dmel_CG4445	PgaNt3	K00710
Dmel_CG6394	GalNac-t2	K00710
Dmel_CG7297	PgaNt8	K00710
Dmel_CG7480	PgaNt35a	K00710
Dmel_CG8182	GalNac-t1	K00710
Dmel_CG9520	C1gAlta	K00731
Dmel_CG12311	Tw	K00728
Dmel_CG6097	Rt	K00728
Dmel_CG32300	Oxt	K00771
Dmel_CG32775	GlcAt-i	K10158
Dmel_CG3881	GlcAt-s	K10812
Dmel_CG6207	GlcAt-p	K10812
Dmel_CG32300	Oxt	K00771
Dmel_CG32775	GlcAt-i	K10158
Dmel_CG15110	BotV	K02370
Dmel_CG10117	Ttv	K02366
Dmel_CG8433	Ext2	K02367
Dmel_CG8339	Sfl	K02577
Dmel_CG10234	Hs2St	K02513
Dmel_CG4451	Hs6St	K02514
Dmel_CG33147	Hs3St-a	K08104
Dmel_CG2448	FucT6	K00717
Dmel_CG3132	Ect3	K12309
Dmel_CG9092	Gal	K12309
Dmel_CG1318	HexO1	K12373
Dmel_CG1787	HexO2	K12373
Dmel_CG8824	Fdl	K12373
Dmel_CG32578	Gpi1	K03860
Dmel_CG6657	Veg	K07542
Dmel_CG17223	AlpHa4gt1	K01988
Dmel_CG5878	AlpHa4gt2	K01988
Dmel_CG1318	HexO1	K12373
Dmel_CG1787	HexO2	K12373
Dmel_CG8824	Fdl	K12373
Dmel_CG3132	Ect3	K12309
Dmel_CG9092	Gal	K12309
Dmel_CG1318	HexO1	K12373
Dmel_CG1787	HexO2	K12373
Dmel_CG8824	Fdl	K12373
Dmel_CG3132	Ect3	K12309
Dmel_CG9092	Gal	K12309
Dmel_CG1318	HexO1	K12373
Dmel_CG1787	HexO2	K12373
Dmel_CG8824	Fdl	K12373
Dmel_CG6128	FucA	K01206
Dmel_CG33747	PriMo-2	K01078
Dmel_CG33748	PriMo-1	K01078
Dmel_CG7899	AcpH-1	K01078
Dmel_CG42639	ProPo-a1	K00505
Dmel_CG13645	NmnAt	K06210
Dmel_CG4827	VeiL	K01081
Dmel_CG5725	Fbl	K09680
Dmel_CG30290	PpcDc	K01598
Dmel_CG10575	PpaT-dpck	K02318
Dmel_CG3027	Pyd3	K01431
Dmel_CG1411	CrmP	K01464
Dmel_CG2194	Su(R)	K00207
Dmel_CG14670	Hcs	K01942
Dmel_CG5231	Las	K03644
Dmel_CG9441	Pu	K01495
Dmel_CG1462	Aph-4	K01077
Dmel_CG14887	DhfR	K00287
Dmel_CG16784	Pr	K01737
Dmel_CG12117	SptR	K00072
Dmel_CG4665	DhpR	K00357
Dmel_CG14887	DhfR	K00287
Dmel_CG4067	Pug	K00288
Dmel_CG18466	NmdMc	K13403
Dmel_CG31628	Ade3	K11787
Dmel_CG3181	Ts	K00560
Dmel_CG6598	Fdh	K00121
Dmel_CG3481	Adh	K00001
Dmel_CG31991	Mdy	K11155
Dmel_CG11466	Cyp9f2	K07424
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG3017	AlaS	K00643
Dmel_CG10335	PbgS	K01698
Dmel_CG9165	L(3)02640	K01749
Dmel_CG1818	UpdO	K01599
Dmel_CG3433	CopRox	K00228
Dmel_CG5796	PpoX	K00231
Dmel_CG14716	Ho	K00510
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG6022	CchL	K01764
Dmel_CG2216	Fer1hch	K00522
Dmel_CG4349	Fer3hch	K00522
Dmel_CG9613	Coq2	K06125
Dmel_CG14437	Coq7	K06134
Dmel_CG4311	HmgS	K01641
Dmel_CG10367	HmgCr	K00021
Dmel_CG12389	FppS	K00787
Dmel_CG8593	Qm	K00804
Dmel_CG8425	Jhe	K01063
Dmel_CG17330	JhaMt	K10718
Dmel_CG15101	JheH1	K10719
Dmel_CG15102	JheH2	K10719
Dmel_CG15106	JheH3	K10719
Dmel_CG6578	Phm	K10720
Dmel_CG12028	Dib	K10721
Dmel_CG14728	Sad	K10722
Dmel_CG13478	Shd	K10723
Dmel_CG3752	AldH	K00128
Dmel_CG10093	Cyp313a3	K00517
Dmel_CG10094	Cyp313a2	K00517
Dmel_CG10240	Cyp6a22	K00517
Dmel_CG10241	Cyp6a17	K00517
Dmel_CG10242	Cyp6a23	K00517
Dmel_CG10243	Cyp6a19	K00517
Dmel_CG10245	Cyp6a20	K00517
Dmel_CG10246	Cyp6a9	K00517
Dmel_CG10247	Cyp6a21	K00517
Dmel_CG10248	Cyp6a8	K00517
Dmel_CG10391	Cyp310a1	K00517
Dmel_CG10594	Spo	K00517
Dmel_CG10755	Cyp4ae1	K00517
Dmel_CG10833	Cyp28d1	K00517
Dmel_CG10842	Cyp4p1	K00517
Dmel_CG10843	Cyp4p3	K00517
Dmel_CG11821	Cyp12a5	K00517
Dmel_CG12800	Cyp6d4	K00517
Dmel_CG13977	Cyp6a18	K00517
Dmel_CG14031	Cyp4ac3	K00517
