Q09161	NcbP1	K12882
B4DZ34	DgkH	K00901
P52824	DgkQ	K00901
B7Z6M3	DgkZ	K00901
Q6ZVG7	DgkZ	K00901
Q13574	DgkZ	K00901
B7Z2M9	DgkZ	K00901
E9PPW4	DgkZ	K00901
P52429	DgkE	K00901
A1L4Q0	DgkE	K00901
Q16760	DgkD	K00901
O75912	DgkI	K00901
Q9UPQ8	DolK	K00902
Q16854	DguOk	K00904
E5KSL5	DguOk	K00904
E5KSL6	DguOk	K00904
P23677	ItpKa	K00911
B2R9J0	ItpKb	K00911
P27987	ItpKb	K00911
Q13572	ItpK1	K00913
Q8NEB9	Pik3c3	K00914
Q8TCT0	CerK	K04715
Q9BRR6	AdpGk	K08074
P48426	Pip4k2a	K00920
B4DY44	Pip4k2c	K00920
Q8TBX8	Pip4k2c	K00920
B4DM11	Pip4k2c	K00920
B3KQV3	Pip4k2c	K00920
P78356	Pip4k2b	K00920
Q9Y2I7	PikFyve	K00921
Q08AR7	PikFyve	K00921
Q8NFU5	IpmK	K00328
P42336	Pik3ca	K00922
P42338	Pik3cb	K00922
A7E2E0	Pik3cd	K00922
O00329	Pik3cd	K00922
P48736	Pik3cg	K00922
A4D0Q6	Pik3cg	K00922
O00443	Pik3c2a	K00923
O00750	Pik3c2b	K00923
A2RUF7	Pik3c2b	K00923
O75747	Pik3c2g	K00923
Q9H8X2	IppK	K10572
Q13572	ItpK1	K00913
F5H2B2	TrpT1	K10669
Q86TN4	TrpT1	K10669
A8MU17	TrpT1	K10669
Q8IV42	PstK	K10837
Q9NPI5	ItgB1bp3	K00924
Q9H479	Fn3K	K00924
Q9NWW6	C9oRf95	K10524
P00558	Pgk1	K00927
A8K4W6	Pgk1	K00927
P07205	Pgk2	K00927
P54886	AldH18a1	K12657
P12277	Ckb	K00933
P06732	Ckm	K00933
B2R892	Ckm	K00933
P12532	CkmT1b	K00933
P17540	CkmT2	K00933
P12532	CkmT1a	K00933
Q6FGV9	PmvK	K13273
Q15126	PmvK	K13273
Q96M32	Ak7	K00939
Q6FGX9	Ak1	K00939
P00568	Ak1	K00939
P54819	Ak2	K00939
P27144	Ak4	K00939
Q9Y6K8	Ak5	K00939
O75414	Nme6	K00940
Q9Y5B8	Nme7	K00940
P15531	Nme1	K00940
P22392	Nme2	K00940
Q6FHN3	Nme2	K00940
Q13232	Nme3	K00940
O00746	Nme4	K00940
P22392	Nme1-nme2	K00940
P56597	Nme5	K00940
Q16774	Guk1	K00942
B1ANH1	Guk1	K00942
B4E1H6	Guk1	K00942
Q6IBG8	Guk1	K00942
P23919	DtyMk	K00943
B7ZW70	DtyMk	K00943
Q6FGU2	DtyMk	K00943
Q53F55	DtyMk	K00943
Q7Z4Y4	Ak3	K00944
Q9HC01	Ak3	K00944
Q9UIJ7	Ak3	K00944
E7ET30	Ak3	K00944
B4DP58	Ak3	K00944
B2R6S5	CmpK1	K13800
E9PGI8	CmpK1	K13800
P30085	CmpK1	K13800
Q5EBM0	CmpK2	K13809
A8K1M0	Ip6K3	K07756
Q96PC2	Ip6K3	K07756
Q5TAQ4	Ip6K3	K07756
Q9UHH9	Ip6K2	K07756
B2RCP4	Ip6K2	K07756
B4E3G6	Ip6K2	K07756
A8K3B1	Ip6K2	K07756
A8MUX4	Ip6K1	K07756
Q92551	Ip6K1	K07756
O43314	PpiP5k2	K13024
Q6PFW1	PpiP5k1	K13024
O43314	PpiP5k2	K13024
Q6PFW1	PpiP5k1	K13024
B2R6S5	CmpK1	K13800
E9PGI8	CmpK1	K13800
P30085	CmpK1	K13800
P21108	PrpS1l1	K00948
B7ZB02	PrpS1	K00948
P60891	PrpS1	K00948
P11908	PrpS2	K00948
Q9H3S4	Tpk1	K00949
F5GZG6	Tpk1	K00949
Q9BZQ4	NmnAt2	K06210
Q96T66	NmnAt3	K06210
B3KVR6	NmnAt3	K06210
Q9HAN9	NmnAt1	K06210
B1AN63	NmnAt1	K06210
Q8NFF5	FlaD1	K00953
Q13057	CoaSy	K02318
O95340	PapSs2	K13811
Q5TB52	PapSs2	K13811
O43252	PapSs1	K13811
Q6IAX6	PapSs1	K13811
O95602	PolR1a	K02999
Q9H6T2	PolR1a	K02999
Q2L6J2	ZnrD1	K03000
Q9P1U0	ZnrD1	K03000
Q9H9Y6	PolR1b	K03002
Q9GZS1	PolR1e	K03005
P24928	PolR2a	K03006
P30876	PolR2b	K03010
O14802	PolR3a	K03018
Q9Y2Y1	PolR3k	K03019
Q9Y2S0	PolR1d	K03020
F5H1E6	PolR3b	K03021
B3KV73	PolR3b	K03021
Q9NW08	PolR3b	K03021
Q7Z3R8	PolR3b	K03021
Q6ZPA8	PolR3h	K03022
Q9Y535	PolR3h	K03022
Q9BUI4	PolR3c	K03023
O15318	PolR3g	K03024
Q9BT43	PolR3gl	K03024
Q9H1D9	PolR3f	K03025
P05423	PolR3d	K03026
O15160	PolR1c	K03027
O00411	PolRmt	K10908
Q4G0F4	PolRmt	K10908
P09884	PolA1	K02320
Q07864	PolE	K02324
P56282	PolE2	K02325
B4DDE6	PolE2	K02325
A4FU92	PolE2	K02325
Q9NRF9	PolE3	K02326
P28340	PolD1	K02327
P06746	PolB	K02330
Q9BQG0	MybBp1a	K02331
P54098	PolG	K02332
E5KNU5	PolG	K02332
O75417	PolQ	K02349
Q59EE4	PolQ	K02349
O60673	Rev3l	K02350
Q9NR33	PolE4	K03506
Q9Y253	PolH	K03509
Q9UNA4	PolI	K03510
Q9UBT6	PolK	K03511
A8K860	PolL	K03512
Q9UGP5	PolL	K03512
Q9NP87	PolM	K03513
Q5XG87	PapD7	K03514
B7ZLL4	PapD7	K03514
B4E0T3	PapD7	K03514
Q8TCS8	PnpT1	K00962
Q16851	Ugp2	K00963
P07902	GalT	K00965
Q9Y5P6	GmpPb	K00966
Q96IJ6	GmpPa	K00966
Q99447	PcyT2	K00967
F5H8B1	PcyT2	K00967
P49585	PcyT1a	K00968
Q9Y5K3	PcyT1b	K00968
E9PD84	PcyT1b	K00968
Q9BZQ4	NmnAt2	K06210
Q96T66	NmnAt3	K06210
B3KVR6	NmnAt3	K06210
Q9HAN9	NmnAt1	K06210
B1AN63	NmnAt1	K06210
Q96Q11	TrnT1	K00974
Q16222	Uap1	K00972
Q3KQV9	Uap1l1	K00972
Q96Q11	TrnT1	K00974
B4E2Y7	FpgT	K00976
E9PNQ2	FpgT	K00976
O14772	FpgT	K00976
B4DRX2	FpgT	K00976
A6NMH3	FpgT	K00976
P04053	DntT	K00977
Q92903	Cds1	K00981
O95674	Cds2	K00981
Q8NFW8	CmaS	K00983
O14746	TerT	K11126
O60942	RngTt	K13917
Q5TAX3	ZccHc11	K13291
Q5VYS8	ZccHc6	K13291
Q96KX5	ZccHc6	K13291
Q15646	OasL	K00992
B3KN79	OasL	K00992
P49642	PriM1	K02684
P49643	PriM2	K02685
Q9UBZ9	Rev1	K03515
Q9NWX6	Thg1l	K10761
Q7Z7A3	Ctu1	K14168
Q9C0D9	Ept1	K00993
Q9Y6K0	CepT1	K13644
B3KN25	CepT1	K13644
Q8WUD6	ChpT1	K00994
Q9Y6K0	CepT1	K13644
B3KN25	CepT1	K13644
Q32NB8	Pgs1	K00995
O14735	CdiPt	K00999
A8K3L7	CdiPt	K00999
Q9H3H5	DpaGt1	K01001
Q3T906	GnpTab	K08239
Q8NHU3	SgmS2	K04714
Q86VZ5	SgmS1	K04714
D3DWC4	SgmS1	K04714
Q9NRN7	AasDhppt	K06133
P48651	PtdSs1	K08729
Q9BVG9	PtdSs2	K08730
Q9UJA2	CrlS1	K08744
Q99611	SepHs2	K01008
Q8N9T3	SepHs2	K01008
P49903	SepHs1	K01008
D3DRS9	SepHs1	K01008
Q5T5U9	SepHs1	K01008
B4DWK0	SepHs1	K01008
A6NF12	NtrK1	K03176
P04629	NtrK1	K03176
Q548C2	NtrK2	K04360
Q5VWE5	NtrK2	K04360
Q16620	NtrK2	K04360
Q59GJ1	NtrK2	K04360
P00533	EgfR	K04361
P11362	FgfR1	K04362
P16234	PdgFra	K04363
P06213	InsR	K04527
P04626	ErbB2	K05083
P21860	ErbB3	K05084
Q15303	ErbB4	K05085
P14616	InsRr	K05086
P08069	Igf1r	K05087
P08922	Ros1	K05088
Q59F04	PdgFrb	K05089
P09619	PdgFrb	K05089
Q86VW7	Csf1r	K05090
P07333	Csf1r	K05090
P10721	Kit	K05091
P36888	Flt3	K05092
P21802	FgfR2	K05093
P22607	FgfR3	K05094
Q0IJ44	FgfR3	K05094
P22455	FgfR4	K05095
Q96KE5	FgfR4	K05095
P17948	Flt1	K05096
P35916	Flt4	K05097
P35968	Kdr	K05098
P08581	Met	K05099
A1L467	Met	K05099
Q04912	Mst1r	K05100
Q16288	NtrK3	K05101
Q96CY4	NtrK3	K05101
P21709	EphA1	K05102
B5A967	EphA1	K05102
P29317	EphA2	K05103
P29320	EphA3	K05104
Q6P4R6	EphA3	K05104
Q58F15	EphA4	K05105
P54764	EphA4	K05105
P54756	EphA5	K05106
Q9UF33	EphA6	K05107
B3KS12	EphA6	K05107
Q15375	EphA7	K05108
P29322	EphA8	K05109
P54762	EphB1	K05110
P29323	EphB2	K05111
P54753	EphB3	K05112
P54760	EphB4	K05113
Q541P7	EphB4	K05113
Q96L35	EphB4	K05113
Q7Z635	EphB4	K05113
O15197	EphB6	K05114
P30530	Axl	K05115
Q06418	TyrO3	K05116
Q12866	MerTk	K05117
E9PFX4	Ltk	K05118
P29376	Ltk	K05118
B4DL89	Ltk	K05118
B6D4Y2	Alk	K05119
Q9UM73	Alk	K05119
P35590	Tie1	K05120
Q8IV34	Tek	K05121
Q59HG2	Tek	K05121
Q02763	Tek	K05121
Q66K77	Ror1	K05122
Q01973	Ror1	K05122
Q01974	Ror2	K05123
Q08345	Ddr1	K05124
B7Z2K0	Ddr1	K05124
Q96T61	Ddr1	K05124
Q96T62	Ddr1	K05124
Q16832	Ddr2	K05125
P07949	Ret	K05126
Q9BTX6	Ret	K05126
Q13308	Ptk7	K05127
P34925	Ryk	K05128
Q8WTZ8	Ryk	K05128
Q59FQ5	Ryk	K05128
O15146	MusK	K05129
Q07912	Tnk2	K08886
B3KXJ4	Tnk2	K08886
Q5JZY3	EphA10	K08897
Q8N289	EphA10	K08897
Q4G0R4	EphA10	K08897
Q8IWU2	LmtK2	K08898
O60674	Jak2	K04447
P06241	Fyn	K05703
E1P556	Fyn	K05703
P12931	Src	K05704
P07947	Yes1	K05705
Q658W2	Ptk2	K05725
B4E2N6	Ptk2	K05725
Q05397	Ptk2	K05725
Q59GM6	Ptk2	K05725
A8K3B6	Csk	K05728
P41240	Csk	K05728
B2R6Q4	Csk	K05728
A8K379	Lyn	K05854
P07948	Lyn	K05854
Q6NUK7	Lyn	K05854
A8K4G2	Syk	K05855
P43405	Syk	K05855
P06239	Lck	K05856
Q6PID4	Ptk2b	K05871
Q14289	Ptk2b	K05871
P00519	Abl1	K06619
Q59FK4	Abl1	K06619
P43403	Zap70	K07360
Q08881	Itk	K07363
P42680	Tec	K07364
Q06187	Btk	K07370
Q5JY90	Btk	K07370
P07332	Fes	K07527
P42681	Txk	K08016
Q6J9G0	StyK1	K08253
Q13470	Tnk1	K08885
P42684	Abl2	K08887
B3KNZ9	MatK	K08888
Q9NST8	MatK	K08888
P42679	MatK	K08888
F1T0G6	MatK	K08888
P16591	Fer	K08889
Q05DA5	Fer	K08889
Q05D26	Blk	K08890
P51451	Blk	K08890
Q96IN1	Blk	K08890
P09769	Fgr	K08891
P78453	Fgr	K08891
P42685	Frk	K08892
P08631	Hck	K08893
A8K4G3	Hck	K08893
Q13882	Ptk6	K08894
Q9H3Y6	SrmS	K08895
P51813	Bmx	K08896
P23458	Jak1	K11217
P52333	Jak3	K11218
P29597	Tyk2	K11219
Q53QE4	Bub1	K02178
O43683	Bub1	K02178
O00311	Cdc7	K02214
B2R6V2	Cdc7	K02214
O14757	CheK1	K02216
Q13546	RipK1	K02861
P68400	CsnK2a1	K03097
P19784	CsnK2a2	K03097
P15056	BraF	K04365
P04049	Raf1	K04366
P00540	Mos	K04367
Q9HBH9	MknK2	K04372
B3KS07	MknK2	K04372
A8K341	MknK1	K04372
Q9BUB5	MknK1	K04372
Q9UK32	Rps6ka6	K04373
Q15418	Rps6ka1	K04373
Q15349	Rps6ka2	K04373
P51812	Rps6ka3	K04373
Q8IVH8	Map4k3	K04406
O95819	Map4k4	K04407
B7Z3V5	Map4k4	K04407
Q92918	Map4k1	K04408
Q13153	Pak1	K04409
Q13177	Pak2	K04410
A8K5M4	Pak2	K04410
Q8N4C8	MinK1	K04413
Q12851	Map4k2	K04414
Q9H2K8	TaoK3	K04429
Q7L7X3	TaoK1	K04429
B7ZLV6	TaoK1	K04429
Q9UL54	TaoK2	K04429
A0PJ48	TaoK2	K04429
Q86V37	TaoK2	K04429
Q8IW41	MapKapk5	K04442
P49137	MapKapk2	K04443
Q16644	MapKapk3	K04444
O75676	Rps6ka4	K04445
A0PJF8	Rps6ka4	K04445
O75582	Rps6ka5	K04445
Q9UG98	Rps6ka5	K04445
Q9Y243	Akt3	K04456
P31749	Akt1	K04456
B0LPE5	Akt1	K04456
B3KVH4	Akt1	K04456
B4DG79	Akt2	K04456
P31751	Akt2	K04456
Q13464	RocK1	K04514
O75116	RocK2	K04514
P23443	Rps6kb1	K04688
Q9UBS0	Rps6kb2	K04688
P11309	Pim1	K04702
Q13315	Atm	K04728
P51617	IraK1	K04730
O43187	IraK2	K04731
Q9Y616	IraK3	K04732
Q69FE3	IraK4	K04733
Q9NWZ3	IraK4	K04733
B4E359	IraK4	K04733
B2RAP9	IraK4	K04733
Q9BX84	TrpM6	K04981
Q96QT4	TrpM7	K04982
Q9BXM7	PinK1	K05688
B2RCU6	Pak3	K05733
O75914	Pak3	K05733
B1GX77	Pak3	K05733
O96013	Pak4	K05734
Q9NQU5	Pak6	K05735
B3KYB0	Pak6	K05735
A8K2G2	Pak6	K05735
Q9P286	Pak7	K05736
B0AZM9	Pak7	K05736
P53667	LimK1	K05743
B7Z6I8	LimK1	K05743
Q7L3H5	LimK2	K05744
P53671	LimK2	K05744
O14936	CasK	K06103
Q9NRP7	Stk36	K06228
Q13418	Ilk	K06272
O15530	PdpK1	K06276
P0C1S8	Wee2	K06632
B3KVE1	Wee1	K06632
P30291	Wee1	K06632
Q86V29	Wee1	K06632
F8W164	PkmYt1	K06633
Q99640	PkmYt1	K06633
Q0IJ49	PkmYt1	K06633
O60566	Bub1b	K06637
Q13535	Atr	K06640
O96017	CheK2	K06641
P78527	PrkDc	K06642
Q9BRS2	RioK1	K07178
Q9H2L9	RioK1	K07178
Q9BVS4	RioK2	K07179
D6RDI3	RioK2	K07179
Q6PHR2	Ulk3	K08269
O75385	Ulk1	K08269
Q8IYT8	Ulk2	K08269
O14578	Cit	K08282
Q2M5E1	Cit	K08282
Q6XUX3	DstYk	K08282
Q9UEW8	Stk39	K08282
Q86YV6	MylK4	K08282
Q9P289	Mst4	K08282
Q6DT37	Cdc42bpg	K08282
Q96GX5	MasTl	K08282
Q99570	Pik3r4	K08333
E5KR05	DmpK	K08788
Q09013	DmpK	K08788
E5KR08	DmpK	K08788
E5KR07	DmpK	K08788
E5KR06	DmpK	K08788
Q9Y2H9	MasT1	K08789
O60307	MasT3	K08789
Q6P0Q8	MasT2	K08789
O15021	MasT4	K08789
Q15208	Stk38	K08790
Q9Y2H1	Stk38l	K08790
Q9NRM7	LatS2	K08791
O95835	LatS1	K08791
Q8WU08	Stk32a	K08793
Q86UX6	Stk32c	K08793
Q9NY57	Stk32b	K08793
Q8TDC3	BrsK1	K08796
Q8IWQ3	BrsK2	K08796
P57058	HunK	K08797
Q7KZI7	MarK2	K08798
A8K2S4	MarK2	K08798
Q9P0L2	MarK1	K08798
P27448	MarK3	K08798
Q86TT8	MarK3	K08798
Q86U11	MarK3	K08798
Q96L34	MarK4	K08798
Q14680	MelK	K08799
Q9H093	NuaK2	K08800
O60285	NuaK1	K08800
Q96RG2	PasK	K08801
Q05BE4	PasK	K08801
Q9NRH2	SnrK	K08802
Q59H88	DapK1	K08803
P53355	DapK1	K08803
O43293	DapK3	K08803
Q9UIK4	DapK2	K08803
Q53QE7	Stk17b	K08804
O94768	Stk17b	K08804
Q9UEE5	Stk17a	K08804
Q8N568	DclK2	K08805
O15075	DclK1	K08805
B7Z5K4	DclK1	K08805
Q9P1W9	Pim2	K08806
Q86V86	Pim3	K08807
P11801	PskH1	K08808
Q96QS6	PskH2	K08808
Q15772	SpeG	K08809
A0ZT99	TssK2	K08811
Q96PF2	TssK2	K08811
Q6SA08	TssK4	K08811
Q96PN8	TssK3	K08811
Q9BXA7	TssK1b	K08811
A0ZT98	TssK1b	K08811
Q9BXA6	TssK6	K08811
Q8IV63	Vrk3	K08816
A6NEG5	Vrk3	K08816
Q99986	Vrk1	K08816
Q86Y07	Vrk2	K08816
Q9H422	HipK3	K08826
Q86Z02	HipK1	K08826
B4DZ33	HipK1	K08826
Q9H2X6	HipK2	K08826
Q13523	PrpF4b	K08827
B4DS61	SrpK1	K08831
Q96SB4	SrpK1	K08831
P78362	SrpK2	K08831
Q9UPE1	SrpK3	K08832
Q9Y4K4	Map4k5	K08833
B3KWC4	Map4k5	K08833
Q8WXR4	Myo3b	K08834
B7ZM71	Myo3b	K08834
Q8NEV4	Myo3a	K08834
O95747	OxsR1	K08835
Q9H2G2	Slk	K08836
O94804	Stk10	K08837
Q5U0E6	Stk24	K08838
Q9Y6E0	Stk24	K08838
Q6P0Y1	Stk24	K08838
Q9UKE5	TniK	K08840
Q38SD2	LrrK1	K08843
Q5S007	LrrK2	K08844
Q17RV3	LrrK2	K08844
P10398	AraF	K08845
O43353	RipK2	K08846
Q9Y572	RipK3	K08847
Q96T11	RipK4	K08848
Q9H4D1	RipK4	K08848
Q8NB16	MlkL	K08849
Q6PCD5	RfwD3	K08849
Q96S44	Tp53rk	K08851
O75460	Ern1	K08852
Q2M2I8	Aak1	K08853
Q9NSY1	Bmp2k	K08854
Q4W5H2	Bmp2k	K08854
O14976	Gak	K08855
O75716	Stk16	K08856
Q9HC98	Nek6	K08857
Q8TDX7	Nek7	K08857
B2R8K8	Nek7	K08857
Q86SG6	Nek8	K08857
Q6P3R8	Nek5	K08857
Q96PY6	Nek1	K08857
Q5JXL9	Nek1	K08857
P51955	Nek2	K08857
P51956	Nek3	K08857
Q6ZN64	Nek3	K08857
P51957	Nek4	K08857
B7Z200	Nek4	K08857
Q05DF6	Nek4	K08857
Q8NG66	Nek11	K08857
B4DM56	Nek11	K08857
Q8TD19	Nek9	K08857
Q6PKF2	Nek9	K08857
Q52WX2	Sbk1	K08858
Q8TDR2	Stk35	K08859
Q9BQI3	Eif2ak1	K08860
Q9P2K8	Eif2ak4	K08860
Q05CP4	Eif2ak2	K08860
E9PC80	Eif2ak2	K08860
P19525	Eif2ak2	K08860
Q7Z6F6	Eif2ak2	K08860
Q8IW76	Eif2ak2	K08860
Q9NZJ5	Eif2ak3	K08860
B3KY45	Eif2ak3	K08860
Q86UE8	Tlk2	K08864
Q9UKI8	Tlk1	K08864
B3KR15	Tlk1	K08864
B4DX87	Tlk1	K08864
F5GWT4	Wnk1	K08867
Q9H4A3	Wnk1	K08867
A5D8Z4	Wnk1	K08867
B0LPI0	Wnk4	K08867
Q96J92	Wnk4	K08867
Q9BYP7	Wnk3	K08867
Q9Y3S1	Wnk2	K08867
F8W9F9	Wnk2	K08867
B0YJ89	RioK3	K08872
O14730	RioK3	K08872
Q8TAS1	UhmK1	K08877
P11274	Bcr	K08878
P49842	Stk19	K08880
Q8N752	CsnK1a1l	K08957
Q05DL3	CsnK1a1	K08957
P48729	CsnK1a1	K08957
Q6PJ06	CsnK1a1	K08957
P78368	CsnK1g2	K08958
Q9Y6M4	CsnK1g3	K08958
Q9HCP0	CsnK1g1	K08958
P48730	CsnK1d	K08959
P49674	CsnK1e	K08960
Q5U045	CsnK1e	K08960
Q96GD4	AurKb	K11479
C7G533	AurKb	K11479
Q9UQB9	AurKc	K11480
O14965	AurKa	K11481
Q76MJ5	Ern2	K11715
E9PPD3	Ttn	K12567
Q8WZ42	Ttn	K12567
E7EQE6	Ttn	K12567
A6NKB1	Ttn	K12567
E7ET18	Ttn	K12567
O00141	Sgk1	K13302
Q9HBY8	Sgk2	K13303
Q96BR1	Sgk3	K13304
Q5H9Q5	Sgk3	K13304
Q53EW6	Sgk3	K13304
Q15119	Pdk2	K00898
B3KNW0	Pdk2	K00898
Q15120	Pdk3	K00898
B4DXG6	Pdk3	K00898
Q16654	Pdk4	K00898
A4D1H4	Pdk4	K00898
Q15118	Pdk1	K12077
O14874	BckDk	K00905
A8MY43	BckDk	K00905
Q96G95	BckDk	K00905
Q13188	Stk3	K04412
Q13043	Stk4	K04411
Q14296	FasTk	K08290
Q8IVA0	FasTk	K08290
Q15831	Stk11	K07298
Q9Y5P4	Col4a3bp	K08283
O15111	ChuK	K04467
Q9UHD2	Tbk1	K05410
O14920	IkbKb	K07209
B4E0U4	IkbKb	K07209
Q3B754	IkbKe	K07211
Q14164	IkbKe	K07211
P17612	PrkAca	K04345
P22694	PrkAcb	K04345
B2RB89	PrkAcb	K04345
B4DKB0	PrkAcb	K04345
B1APG4	PrkAcb	K04345
B7ZA00	PrkAcb	K04345
P22612	PrkAcg	K04345
P51817	PrkX	K04345
Q13131	PrkAa1	K07198
P54646	PrkAa2	K07198
Q13976	PrkG1	K07376
Q13237	PrkG2	K07376
P17252	PrkCa	K02677
B5BU22	PrkCa	K02677
Q7Z727	PrkCa	K02677
P05771	PrkCb	K02677
P05129	PrkCg	K02677
Q05655	PrkCd	K06068
Q02156	PrkCe	K06068
P24723	PrkCh	K06068
Q04759	PrkCq	K06068
P41743	PrkCi	K06069
E9PCW2	PrkCz	K06069
B7Z2J7	PrkCz	K06069
Q05513	PrkCz	K06069
O94806	PrkD3	K06070
Q9BZL6	PrkD2	K06070
Q8NCK8	PrkD2	K06070
Q15139	PrkD1	K06070
Q6P5Z2	Pkn3	K06071
Q16512	Pkn1	K06071
Q16513	Pkn2	K06071
Q8WTQ7	Grk7	K00909
Q15835	Grk1	K00909
P25098	AdrBk1	K00910
P35626	AdrBk2	K00910
Q8N433	AdrBk2	K00910
P32298	Grk4	K08291
P34947	Grk5	K08291
P43250	Grk6	K08291
Q8IWE0	CamK2a	K04515
A8K161	CamK2a	K04515
Q9UQM7	CamK2a	K04515
Q7LDD5	CamK2a	K04515
Q13554	CamK2b	K04515
A4D2J9	CamK2b	K04515
A4D2K5	CamK2b	K04515
Q13557	CamK2d	K04515
Q13555	CamK2g	K04515
Q13280	CamK2g	K04515
Q16566	CamK4	K05869
Q96RR4	CamKk2	K07359
Q8N5S9	CamKk1	K07359
Q5SQQ7	CamK1d	K08794
Q8IU85	CamK1d	K08794
Q96NX5	CamK1g	K08794
Q14012	CamK1	K08794
B0YIY3	CamK1	K08794
Q6P2M8	PncK	K08795
B4E1A6	PncK	K08795
Q15746	MylK	K00907
Q6P2N0	MylK	K00907
Q9UBY6	MylK	K00907
Q9H1R3	MylK2	K00907
Q32MK0	MylK3	K00907
Q16816	PhkG1	K00871
P15735	PhkG2	K00871
O00418	Eef2k	K08292
P53350	Plk1	K06631
Q9NYY3	Plk2	K08861
Q9H4B4	Plk3	K08862
O00444	Plk4	K08863
B7Z3D6	Cdk1	K02087
P06493	Cdk1	K02087
Q00526	Cdk3	K02088
P11802	Cdk4	K02089
Q00535	Cdk5	K02090
A4D1G0	Cdk6	K02091
Q00534	Cdk6	K02091
P50613	Cdk7	K02202
P24941	Cdk2	K02206
P49336	Cdk8	K02208
Q9BWU1	Cdk19	K02208
P50750	Cdk9	K02211
Q15131	Cdk10	K02449
B7Z537	Cdk10	K02449
Q8IZL9	Cdk20	K08817
A2A390	Cdk20	K08817
Q9UQ88	Cdk11a	K08818
Q4VBY6	Cdk11a	K08818
P21127	Cdk11b	K08818
Q9NYV4	Cdk12	K08819
Q9BVE2	Cdk13	K08819
Q14004	Cdk13	K08819
Q9BRL4	Cdk16	K08820
Q00536	Cdk16	K08820
B7Z7C8	Cdk16	K08820
Q00537	Cdk17	K08820
A8K1U6	Cdk17	K08820
Q07002	Cdk18	K08820
Q59G02	Cdk18	K08820
O94921	Cdk14	K08821
Q96Q40	Cdk15	K08821
Q5MAI5	CdkL4	K08824
Q8IVW4	CdkL3	K08824
O76039	CdkL5	K08824
Q00532	CdkL1	K08824
Q92772	CdkL2	K08824
Q9UPZ9	Ick	K08828
B3KQG4	Ick	K08828
P20794	Mak	K08829
F1T0K6	Mak	K08829
G1FL29	Mak	K08829
Q547D0	Mak	K08829
F8VBW7	Mak	K08829
Q9UQ07	RagE	K08830
O00506	Stk25	K08839
Q499G7	MapK1	K04371
P28482	MapK1	K04371
Q1HBJ4	MapK1	K04371
P27361	MapK3	K04371
Q9BWJ1	MapK3	K04371
A1L4K2	MapK8	K04440
P45983	MapK8	K04440
P45984	MapK9	K04440
P53779	MapK10	K04440
Q16539	MapK14	K04441
Q15759	MapK11	K04441
O15264	MapK13	K04441
P53778	MapK12	K04441
Q13164	MapK7	K04464
Q9UBE8	Nlk	K04468
P31152	MapK4	K06855
Q0VG04	MapK4	K06855
A1A4C4	MapK4	K06855
Q16659	MapK6	K06855
Q8TD08	MapK15	K08293
P41279	Map3k8	K04415
Q13233	Map3k1	K04416
Q8NEB1	Map3k9	K04417
P80192	Map3k9	K04417
Q02779	Map3k10	K04418
Q16584	Map3k11	K04419
Q9Y2U5	Map3k2	K04420
Q99759	Map3k3	K04421
O43283	Map3k13	K04422
B3KSS9	Map3k12	K04423
Q12852	Map3k12	K04423
Q9NYL2	Zak	K04424
D4Q8H0	Zak	K04424
O95382	Map3k6	K04425
Q99683	Map3k5	K04426
O43318	Map3k7	K04427
Q9P1M2	Map3k4	K04428
Q9Y6R4	Map3k4	K04428
Q99558	Map3k14	K04466
Q6ZN16	Map3k15	K13986
P49841	Gsk3b	K03083
Q6FI27	Gsk3b	K03083
Q8IWY7	TtbK2	K08815
Q6IQ55	TtbK2	K08815
Q5TCY1	TtbK1	K08815
P49840	Gsk3a	K08822
P37173	TgfBr2	K04388
D2JYI1	TgfBr2	K04388
A3QNQ0	TgfBr2	K04388
P27037	AcvR2a	K04670
Q13873	BmpR2	K04671
E9PGD2	AmhR2	K04672
Q16671	AmhR2	K04672
F8W1D2	AmhR2	K04672
Q647K2	AmhR2	K04672
P36894	BmpR1a	K04673
P36897	TgfBr1	K04674
Q5T7S2	TgfBr1	K04674
Q04771	AcvR1	K04675
D3DPA4	AcvR1	K04675
P36896	AcvR1b	K13567
Q8NER5	AcvR1c	K13568
O00238	BmpR1b	K13578
P37023	AcvRl1	K13594
Q13705	AcvR2b	K13596
B4DFW7	Clk1	K08823
P49759	Clk1	K08823
P49760	Clk2	K08823
Q9BRG8	Clk2	K08823
P49761	Clk3	K08823
B3KRI8	Clk3	K08823
Q9HAZ1	Clk4	K08823
Q13627	DyrK1a	K08825
O43781	DyrK3	K08825
Q92630	DyrK2	K08825
Q9NR20	DyrK4	K08825
Q9Y463	DyrK1b	K08825
Q8NFJ4	TesK1	K08841
Q15569	TesK1	K08841
Q96S53	TesK2	K08842
Q5T422	TesK2	K08842
P33981	Ttk	K08866
A8K8U5	Ttk	K08866
A4QPA9	Map2k1	K04368
Q02750	Map2k1	K04368
P36507	Map2k2	K04369
P45985	Map2k4	K04430
O14733	Map2k7	K04431
P46734	Map2k3	K04432
Q6FI23	Map2k3	K04432
P52564	Map2k6	K04433
A8K3Y2	Map2k6	K04433
Q13163	Map2k5	K04463
B4DE43	Map2k5	K04463
Q96KB5	Pbk	K08865
O95427	PigN	K05285
Q07326	PigF	K05287
Q6IB04	PigF	K05287
Q5H8A4	PigG	K05310
